PLAYER,TEAM,POSITION,GP,MIN,PPG,APG,RPG,SPG,BPG,TOV,FG_PCT,FG3_PCT,FT_PCT,PTS_per_36,AST_per_36,REB_per_36,ALL_AROUND_SCORE,ARCHETYPE
Isaac Okoro,CLE,F-G,55,19.1,6.1,1.2,2.4,0.6,0.3,0.4,0.464,0.371,0.717,11.497382198952877,2.2617801047120416,4.523560209424083,11.3,Role Player
Isaiah Collier,UTA,G,71,25.9,8.7,6.3,3.3,0.9,0.2,2.9,0.422,0.249,0.682,12.092664092664092,8.756756756756758,4.586872586872587,25.0,Playmaker
Isaiah Hartenstein,OKC,C-F,57,27.9,11.2,3.8,10.7,0.8,1.1,1.7,0.581,0.0,0.675,14.451612903225808,4.903225806451613,13.806451612903226,37.5,All-Around Player
Isaiah Joe,OKC,G,74,21.7,10.2,1.6,2.6,0.6,0.1,0.5,0.44,0.412,0.821,16.921658986175114,2.654377880184332,4.313364055299539,13.9,Role Player
Isaiah Stewart,DET,F-C,72,19.9,6.0,1.7,5.5,0.4,1.4,0.9,0.559,0.321,0.759,10.85427135678392,3.075376884422111,9.949748743718594,21.2,Rebounder / Interior Player
Isaiah Wong,CHA,UNK,20,13.3,6.0,1.4,1.6,0.6,0.0,0.9,0.39,0.394,0.735,16.240601503759397,3.789473684210526,4.330827067669173,8.7,Role Player
Ivica Zubac,LAC,C,80,32.8,16.8,2.7,12.6,0.7,1.1,1.6,0.628,0.0,0.661,18.4390243902439,2.963414634146342,13.829268292682928,41.3,All-Around Player
JT Thor,WAS,F,20,12.5,3.6,0.3,2.4,0.4,0.5,0.5,0.424,0.286,0.682,10.368000000000002,0.864,6.912,7.7,Role Player
Ja Morant,MEM,G,50,30.4,23.2,7.3,4.1,1.2,0.2,3.7,0.454,0.309,0.824,27.47368421052632,8.644736842105264,4.855263157894737,39.5,All-Around Player
Ja'Kobe Walter,TOR,G,52,21.2,8.6,1.6,3.1,0.8,0.2,1.0,0.405,0.349,0.795,14.60377358490566,2.716981132075472,5.264150943396226,15.6,Role Player
Jabari Smith Jr.,HOU,F,57,30.1,12.2,1.1,7.0,0.4,0.7,1.1,0.438,0.354,0.825,14.591362126245844,1.3156146179401995,8.372093023255815,22.7,Rebounder / Interior Player
Jabari Walker,POR,F,60,12.5,5.2,0.6,3.5,0.6,0.1,0.6,0.515,0.389,0.69,14.976,1.728,10.080000000000002,10.2,Role Player
Jaden Hardy,DAL,G,57,15.9,8.7,1.4,1.6,0.5,0.1,1.4,0.435,0.386,0.698,19.69811320754717,3.1698113207547167,3.6226415094339623,10.3,Role Player
Jaden Ivey,DET,G,30,29.9,17.6,4.0,4.1,0.9,0.4,3.0,0.46,0.409,0.733,21.190635451505017,4.816053511705685,4.936454849498327,28.9,Scorer
Jaden McDaniels,MIN,F,82,31.9,12.2,2.0,5.7,1.3,0.9,1.2,0.477,0.33,0.813,13.768025078369906,2.2570532915360504,6.432601880877743,29.8,All-Around Player
Jae'Sean Tate,HOU,F,52,11.3,3.6,0.9,2.3,0.5,0.1,0.4,0.473,0.348,0.681,11.469026548672566,2.8672566371681416,7.327433628318584,7.2,Role Player
Jaime Jaquez Jr.,MIA,G,66,20.7,8.6,2.5,4.4,0.9,0.2,1.5,0.461,0.311,0.754,14.956521739130435,4.347826086956522,7.652173913043479,19.8,Role Player
Jake LaRavia,SAC,F,66,20.4,6.9,2.4,3.9,0.9,0.3,1.3,0.475,0.423,0.678,12.176470588235295,4.235294117647059,6.882352941176471,18.3,Role Player
Jakob Poeltl,TOR,C,57,29.6,14.5,2.8,9.6,1.2,1.2,1.9,0.627,0.333,0.674,17.635135135135133,3.4054054054054053,11.675675675675674,39.5,All-Around Player
Jalen Brunson,NYK,G,65,35.4,26.0,7.3,2.9,0.9,0.1,2.5,0.488,0.383,0.821,26.440677966101696,7.423728813559323,2.949152542372881,36.8,Scorer
Jalen Duren,DET,C,78,26.1,11.8,2.7,10.3,0.7,1.1,1.7,0.692,0.0,0.669,16.275862068965516,3.7241379310344827,14.206896551724139,34.6,Rebounder / Interior Player
Jalen Green,HOU,G,82,32.9,21.0,3.4,4.6,0.9,0.3,2.5,0.423,0.354,0.813,22.97872340425532,3.7203647416413372,5.033434650455927,30.3,Scorer
Jalen Johnson,ATL,F,36,35.7,18.9,5.0,10.0,1.6,1.0,2.9,0.5,0.312,0.746,19.05882352941176,5.042016806722689,10.084033613445378,48.7,All-Around Player
Jalen Pickett,DEN,G,49,13.6,4.1,2.2,1.4,0.4,0.1,0.5,0.428,0.396,0.75,10.852941176470587,5.8235294117647065,3.705882352941176,7.7,Role Player
Jalen Smith,CHI,F-C,64,15.0,8.2,1.0,5.6,0.3,0.7,0.6,0.466,0.324,0.809,19.68,2.4,13.439999999999998,17.1,Rebounder / Interior Player
Jalen Suggs,ORL,G,35,28.6,16.2,3.7,4.0,1.5,0.9,2.9,0.41,0.314,0.882,20.39160839160839,4.6573426573426575,5.034965034965034,34.2,All-Around Player
Jalen Williams,OKC,G-F,69,32.4,21.6,5.1,5.3,1.6,0.7,2.2,0.484,0.365,0.789,24.000000000000004,5.666666666666667,5.888888888888889,41.9,All-Around Player
Jalen Wilson,BKN,F,79,25.7,9.5,1.8,3.4,0.5,0.1,1.0,0.397,0.337,0.818,13.30739299610895,2.5214007782101167,4.762645914396887,14.3,Role Player
Jamal Cain,NOP,F,37,13.6,5.3,0.6,2.3,0.6,0.2,0.6,0.43,0.325,0.68,14.029411764705882,1.5882352941176472,6.088235294117647,9.0,Role Player
Jamal Murray,DEN,G,67,36.1,21.4,6.0,3.9,1.4,0.5,2.1,0.474,0.393,0.886,21.340720221606645,5.983379501385041,3.8891966759002767,38.7,All-Around Player
Jamal Shead,TOR,G,75,19.6,7.1,4.2,1.5,0.8,0.1,1.6,0.405,0.323,0.768,13.04081632653061,7.7142857142857135,2.7551020408163263,16.2,Playmaker
James Harden,LAC,G,79,35.3,22.8,8.7,5.8,1.5,0.7,4.3,0.41,0.352,0.874,23.252124645892355,8.872521246458923,5.9150141643059495,49.1,All-Around Player
Jamison Battle,TOR,F,59,17.7,7.1,0.9,2.7,0.3,0.2,0.5,0.429,0.405,0.889,14.440677966101696,1.8305084745762712,5.491525423728814,9.2,Role Player
Jarace Walker,IND,F,75,15.8,6.1,1.5,3.1,0.7,0.3,1.0,0.472,0.405,0.667,13.898734177215188,3.4177215189873413,7.063291139240506,13.6,Role Player
Jared Butler,PHI,G,60,17.4,9.0,3.7,1.8,0.7,0.2,1.3,0.448,0.355,0.824,18.620689655172416,7.655172413793104,3.724137931034483,16.8,Playmaker
Jared McCain,PHI,G,23,25.7,15.3,2.6,2.4,0.7,0.0,1.6,0.46,0.383,0.875,21.43190661478599,3.642023346303502,3.3618677042801557,18.8,Scorer
Jaren Jackson Jr.,MEM,F-C,74,29.8,22.2,2.0,5.6,1.2,1.5,2.1,0.488,0.375,0.781,26.81879194630872,2.4161073825503356,6.765100671140939,38.6,All-Around Player
Jarred Vanderbilt,LAL,F,36,16.1,4.1,1.1,5.1,1.0,0.3,0.8,0.488,0.281,0.556,9.167701863354036,2.459627329192547,11.403726708074531,16.8,Role Player
Jarrett Allen,CLE,C,82,28.0,13.5,1.9,9.7,0.9,0.9,1.2,0.706,0.0,0.718,17.357142857142858,2.4428571428571426,12.471428571428572,33.7,Rebounder / Interior Player
Javonte Green,CLE,G,68,18.5,5.1,0.8,3.2,1.0,0.5,0.5,0.429,0.326,0.724,9.924324324324322,1.5567567567567568,6.227027027027027,15.0,Role Player
Jaxson Hayes,LAL,C-F,56,19.5,6.8,1.0,4.8,0.6,0.9,0.8,0.722,0.0,0.622,12.553846153846154,1.846153846153846,8.86153846153846,18.2,Rebounder / Interior Player
Jay Huff,MEM,C,64,11.7,6.9,0.6,2.0,0.3,0.9,0.5,0.515,0.405,0.786,21.23076923076923,1.846153846153846,6.153846153846154,11.1,Rebounder / Interior Player
Jaylen Brown,BOS,G-F,63,34.3,22.2,4.5,5.8,1.2,0.3,2.6,0.463,0.324,0.764,23.30029154518951,4.723032069970846,6.087463556851312,37.0,All-Around Player
Jaylen Clark,MIN,G,40,13.0,4.1,0.7,1.3,0.9,0.1,0.2,0.467,0.431,0.784,11.353846153846153,1.9384615384615382,3.6,8.5,Role Player
Jaylen Wells,MEM,F,79,25.9,10.4,1.7,3.4,0.6,0.1,0.9,0.425,0.352,0.822,14.455598455598457,2.362934362934363,4.725868725868726,15.4,Role Player
Jaylin Williams,OKC,F,47,16.7,5.9,2.6,5.6,0.5,0.6,0.7,0.439,0.399,0.767,12.718562874251496,5.604790419161677,12.071856287425149,19.4,Rebounder / Interior Player
Jayson Tatum,BOS,F-G,72,36.4,26.8,6.0,8.7,1.1,0.5,2.9,0.452,0.343,0.814,26.505494505494507,5.934065934065934,8.604395604395604,47.4,All-Around Player
Jeff Dowtin Jr.,PHI,G,41,15.1,7.0,1.9,1.5,0.6,0.3,0.4,0.487,0.4,0.733,16.688741721854306,4.529801324503311,3.5761589403973515,11.7,Role Player
Jeff Green,HOU,F,32,12.4,5.4,0.6,1.8,0.2,0.1,0.3,0.504,0.367,0.808,15.67741935483871,1.7419354838709677,5.225806451612904,4.9,Role Player
Jerami Grant,POR,F,47,32.4,14.4,2.1,3.5,0.9,1.0,1.4,0.373,0.365,0.849,16.0,2.333333333333334,3.8888888888888893,25.7,Two-Way Player
Jeremiah Robinson-Earl,NOP,F,66,18.8,6.3,1.3,4.8,0.6,0.1,0.8,0.455,0.341,0.836,12.063829787234042,2.4893617021276597,9.191489361702127,14.2,Role Player
Jeremy Sochan,SAS,F,54,25.3,11.4,2.4,6.5,0.8,0.5,1.6,0.535,0.308,0.696,16.221343873517785,3.4150197628458496,9.24901185770751,25.5,Rebounder / Interior Player
Jericho Sims,MIL,C,53,11.9,1.8,0.6,3.7,0.2,0.4,0.6,0.634,0.0,0.615,5.4453781512605035,1.8151260504201678,11.193277310924369,7.1,Role Player
Jett Howard,ORL,G,60,11.7,4.5,0.7,1.2,0.2,0.2,0.6,0.374,0.296,0.696,13.846153846153847,2.1538461538461537,3.692307692307692,4.1,Role Player
Jimmy Butler III,GSW,F,55,31.7,17.5,5.4,5.4,1.4,0.3,1.3,0.504,0.308,0.842,19.873817034700316,6.13249211356467,6.13249211356467,36.4,All-Around Player
Jock Landale,HOU,C,42,11.9,4.8,0.9,3.3,0.3,0.2,0.5,0.533,0.423,0.675,14.521008403361343,2.7226890756302518,9.983193277310923,8.6,Role Player
John Collins,UTA,F-C,40,30.5,19.0,2.0,8.2,1.0,1.0,2.6,0.527,0.399,0.848,22.426229508196723,2.360655737704918,9.678688524590164,36.4,All-Around Player
John Konchar,MEM,G,46,12.1,2.4,0.9,3.3,0.7,0.3,0.3,0.451,0.371,0.875,7.140495867768595,2.677685950413223,9.818181818181817,10.4,Role Player
Johnny Juzang,UTA,G,64,19.8,8.9,1.1,2.9,0.6,0.1,0.6,0.429,0.376,0.849,16.181818181818183,2.0,5.2727272727272725,12.6,Role Player
Jonas Valančiūnas,SAC,C,81,18.8,10.4,2.0,7.7,0.5,0.6,1.5,0.55,0.216,0.879,19.914893617021278,3.8297872340425534,14.74468085106383,24.4,Rebounder / Interior Player
Jonathan Isaac,ORL,F,71,15.4,5.4,0.6,4.4,0.9,1.1,0.5,0.414,0.258,0.682,12.623376623376624,1.4025974025974026,10.285714285714286,19.1,Rebounder / Interior Player
Jonathan Kuminga,GSW,F,47,24.3,15.3,2.2,4.6,0.8,0.4,1.5,0.454,0.305,0.668,22.666666666666668,3.2592592592592595,6.814814814814814,24.3,Scorer
Jonathan Mogbo,TOR,F,63,20.4,6.2,2.3,4.9,0.9,0.5,1.1,0.438,0.243,0.732,10.941176470588236,4.0588235294117645,8.647058823529413,20.3,Role Player
Jordan Clarkson,UTA,G,37,26.0,16.2,3.7,3.2,0.8,0.2,2.3,0.408,0.362,0.797,22.43076923076923,5.123076923076923,4.430769230769231,24.3,Scorer
Jordan Goodwin,LAL,G,29,18.7,5.6,1.4,3.9,1.0,0.4,0.9,0.438,0.382,0.818,10.780748663101603,2.6951871657754007,7.508021390374331,17.0,Role Player
Jordan Hawkins,NOP,G,56,23.6,10.8,1.2,2.8,0.5,0.4,1.0,0.372,0.331,0.816,16.47457627118644,1.830508474576271,4.271186440677965,14.7,Role Player
Jordan Miller,LAC,G,37,11.4,4.1,0.9,1.6,0.5,0.1,0.7,0.433,0.211,0.8,12.94736842105263,2.8421052631578947,5.052631578947368,6.4,Role Player
Jordan Poole,WAS,G,68,29.4,20.5,4.5,3.0,1.3,0.4,3.0,0.432,0.378,0.883,25.10204081632653,5.510204081632653,3.673469387755102,32.9,All-Around Player
Jose Alvarado,NOP,G,56,24.4,10.3,4.6,2.4,1.3,0.3,1.5,0.392,0.359,0.811,15.196721311475413,6.786885245901638,3.540983606557377,25.0,Playmaker
Josh Giddey,CHI,G,70,30.2,14.6,7.2,8.1,1.2,0.6,2.9,0.465,0.378,0.781,17.403973509933778,8.582781456953644,9.655629139072847,41.9,All-Around Player
Josh Green,CHA,G,68,27.8,7.4,1.6,2.5,1.1,0.2,1.0,0.428,0.391,0.681,9.582733812949641,2.0719424460431655,3.237410071942446,16.0,Role Player
Josh Hart,NYK,G,77,37.6,13.6,5.9,9.6,1.5,0.4,2.1,0.525,0.333,0.776,13.02127659574468,5.648936170212766,9.191489361702127,42.4,All-Around Player
Josh Okogie,CHA,G,40,15.6,7.1,0.8,2.8,1.2,0.5,0.8,0.443,0.348,0.741,16.384615384615383,1.8461538461538463,6.461538461538462,17.1,Role Player
Jrue Holiday,BOS,G,62,30.6,11.1,3.9,4.3,1.1,0.4,1.2,0.443,0.353,0.909,13.058823529411764,4.588235294117647,5.0588235294117645,26.3,Playmaker
Julian Champagnie,SAS,F,82,23.6,9.9,1.4,3.9,0.7,0.4,0.9,0.415,0.371,0.904,15.101694915254237,2.1355932203389827,5.949152542372881,17.6,Role Player
Julian Phillips,CHI,F,79,14.2,4.6,0.5,2.1,0.5,0.3,0.3,0.446,0.327,0.789,11.661971830985916,1.267605633802817,5.323943661971832,7.9,Role Player
Julian Strawther,DEN,G,65,21.3,9.0,1.3,2.2,0.6,0.2,0.9,0.432,0.349,0.822,15.211267605633802,2.1971830985915495,3.71830985915493,12.5,Role Player
Julius Randle,MIN,F-C,69,32.3,18.7,4.7,7.1,0.7,0.2,2.8,0.485,0.344,0.806,20.842105263157897,5.238390092879257,7.913312693498453,33.0,All-Around Player
Justin Champagnie,WAS,G-F,62,21.6,8.8,1.0,5.7,1.0,0.6,0.9,0.511,0.383,0.685,14.666666666666668,1.6666666666666665,9.5,22.1,All-Around Player
Justin Edwards,PHI,F,44,26.2,10.1,1.6,3.4,1.0,0.4,1.1,0.455,0.363,0.696,13.877862595419847,2.198473282442748,4.67175572519084,19.5,Role Player
Jusuf Nurkić,CHA,C,51,20.8,8.9,2.3,7.8,0.8,0.7,1.9,0.477,0.305,0.664,15.403846153846153,3.98076923076923,13.5,26.8,Rebounder / Interior Player
KJ Martin,UTA,F,43,21.2,6.4,1.1,2.9,0.4,0.5,0.6,0.552,0.259,0.787,10.867924528301888,1.867924528301887,4.9245283018867925,11.7,Role Player
KJ Simpson,CHA,G,36,23.4,7.8,3.1,3.0,0.9,0.2,1.6,0.346,0.254,0.82,12.000000000000002,4.769230769230769,4.615384615384616,18.3,Role Player
Kai Jones,DAL,C-F,40,11.7,5.0,0.6,3.1,0.4,0.6,0.5,0.798,0.2,0.719,15.384615384615387,1.846153846153846,9.538461538461538,10.7,Rebounder / Interior Player
Karl-Anthony Towns,NYK,C-F,72,35.0,24.4,3.1,12.8,1.0,0.7,2.7,0.526,0.42,0.829,25.097142857142856,3.1885714285714286,13.165714285714285,47.3,All-Around Player
Karlo Matković,NOP,F-C,42,18.8,7.7,1.1,5.0,0.5,1.0,1.0,0.574,0.318,0.773,14.74468085106383,2.1063829787234045,9.574468085106382,19.1,Rebounder / Interior Player
Kawhi Leonard,LAC,F,37,31.9,21.5,3.1,5.9,1.6,0.5,1.9,0.498,0.411,0.81,24.263322884012542,3.498432601880878,6.6583072100313485,38.1,All-Around Player
Keaton Wallace,ATL,G,31,16.2,5.4,2.6,1.6,0.9,0.3,1.1,0.401,0.329,1.0,12.000000000000002,5.777777777777779,3.555555555555556,14.2,Role Player
Keegan Murray,SAC,F,76,34.3,12.4,1.4,6.7,0.8,0.9,0.8,0.444,0.343,0.833,13.014577259475221,1.469387755102041,7.032069970845481,26.8,Rebounder / Interior Player
Kel'el Ware,MIA,C,64,22.2,9.3,0.9,7.4,0.6,1.1,0.9,0.554,0.315,0.687,15.081081081081082,1.4594594594594597,12.000000000000002,24.6,Rebounder / Interior Player
Keldon Johnson,SAS,F-G,77,23.9,12.7,1.6,4.8,0.6,0.3,1.0,0.482,0.318,0.773,19.12970711297071,2.410041841004184,7.2301255230125525,19.9,Role Player
Kelly Olynyk,NOP,F-C,44,20.2,8.7,2.9,4.7,0.8,0.4,1.7,0.5,0.418,0.769,15.504950495049505,5.168316831683168,8.376237623762377,21.4,Role Player
Kelly Oubre Jr.,PHI,F-G,60,34.6,15.1,1.8,6.1,1.5,0.5,1.3,0.47,0.293,0.751,15.710982658959537,1.8728323699421967,6.3468208092485545,31.3,All-Around Player
Kenrich Williams,OKC,G-F,69,16.4,6.3,1.4,3.5,0.6,0.1,0.6,0.483,0.386,0.718,13.829268292682928,3.073170731707317,7.682926829268293,12.4,Role Player
Kentavious Caldwell-Pope,MEM,G,77,29.6,8.7,1.8,2.2,1.3,0.4,0.8,0.439,0.342,0.863,10.581081081081079,2.189189189189189,2.675675675675676,19.2,Role Player
Keon Ellis,SAC,G,80,24.4,8.3,1.5,2.7,1.5,0.8,0.9,0.489,0.433,0.849,12.245901639344265,2.2131147540983607,3.9836065573770494,22.7,Rebounder / Interior Player
Keon Johnson,BKN,G,79,24.4,10.6,2.2,3.8,1.0,0.4,1.5,0.389,0.314,0.77,15.639344262295083,3.245901639344263,5.606557377049181,21.5,Role Player
Kessler Edwards,DAL,F,40,15.2,4.2,1.1,2.9,0.5,0.5,0.4,0.496,0.407,0.923,9.947368421052632,2.605263157894737,6.86842105263158,10.9,Role Player
Kevin Durant,PHX,F,62,36.5,26.6,4.2,6.0,0.8,1.2,3.1,0.527,0.43,0.839,26.235616438356164,4.142465753424657,5.917808219178082,41.5,All-Around Player
Kevin Huerter,CHI,G-F,69,24.3,9.9,2.3,3.0,1.0,0.3,1.0,0.425,0.338,0.714,14.666666666666666,3.407407407407407,4.444444444444445,19.4,Role Player
Kevin Love,MIA,F-C,23,10.9,5.3,1.0,4.1,0.7,0.2,0.6,0.357,0.358,0.696,17.5045871559633,3.3027522935779814,13.541284403669724,13.2,Role Player
Kevin Porter Jr.,MIL,G-F,75,19.8,10.3,3.4,3.7,1.1,0.2,1.8,0.449,0.311,0.769,18.727272727272727,6.181818181818182,6.7272727272727275,22.9,Playmaker
Kevon Looney,GSW,F,76,15.0,4.5,1.6,6.1,0.6,0.5,0.5,0.514,0.4,0.566,10.799999999999999,3.8400000000000003,14.639999999999999,17.6,Rebounder / Interior Player
Keyonte George,UTA,G,67,31.5,16.8,5.6,3.8,0.7,0.1,2.7,0.391,0.343,0.818,19.2,6.3999999999999995,4.3428571428571425,27.8,Scorer
Khris Middleton,WAS,F,37,22.8,11.9,4.1,3.7,0.9,0.2,1.5,0.475,0.361,0.857,18.789473684210524,6.473684210526315,5.842105263157895,23.7,Playmaker
Klay Thompson,DAL,G,72,27.3,14.0,2.0,3.4,0.7,0.4,1.2,0.412,0.391,0.905,18.46153846153846,2.6373626373626373,4.483516483516483,20.6,Role Player
Kris Dunn,LAC,G,74,24.1,6.4,2.8,3.4,1.7,0.4,1.0,0.439,0.335,0.682,9.560165975103734,4.182572614107883,5.078838174273859,24.2,Role Player
Kris Murray,POR,F,69,15.1,4.2,1.0,2.6,0.5,0.2,0.6,0.419,0.225,0.456,10.013245033112584,2.384105960264901,6.198675496688742,8.7,Role Player
Kristaps Porziņģis,BOS,F-C,42,28.8,19.5,2.1,6.8,0.7,1.5,1.3,0.483,0.412,0.809,24.375,2.625,8.5,35.3,All-Around Player
Kyle Anderson,MIA,F-G,61,16.4,5.9,2.4,3.4,0.7,0.5,0.6,0.469,0.357,0.738,12.951219512195124,5.26829268292683,7.463414634146342,16.5,Role Player
Kyle Filipowski,UTA,C,72,21.1,9.6,1.9,6.1,0.7,0.3,1.4,0.502,0.35,0.65,16.379146919431278,3.24170616113744,10.407582938388625,21.1,Rebounder / Interior Player
Kyle Kuzma,MIL,F,65,29.8,14.8,2.3,5.7,0.6,0.3,2.2,0.436,0.307,0.634,17.879194630872483,2.7785234899328852,6.885906040268456,23.9,Scorer
Kyle Lowry,PHI,G,35,18.8,3.9,2.7,1.9,0.9,0.3,0.6,0.35,0.33,0.818,7.468085106382978,5.170212765957447,3.6382978723404253,13.9,Role Player
Kyrie Irving,DAL,G,50,36.1,24.7,4.6,4.8,1.3,0.5,2.2,0.473,0.401,0.916,24.631578947368418,4.587257617728531,4.786703601108033,39.0,All-Around Player
Kyshawn George,WAS,F,68,26.5,8.7,2.5,4.2,1.0,0.7,1.4,0.372,0.322,0.753,11.818867924528302,3.3962264150943398,5.705660377358491,22.9,Rebounder / Interior Player
LaMelo Ball,CHA,G,47,32.0,25.2,7.4,4.9,1.1,0.3,3.6,0.405,0.339,0.843,28.349999999999998,8.325000000000001,5.5125,42.0,All-Around Player
Landry Shamet,NYK,G,50,15.2,5.7,0.5,1.2,0.5,0.0,0.4,0.461,0.397,0.667,13.500000000000002,1.1842105263157894,2.8421052631578947,5.6,Role Player
Larry Nance Jr.,ATL,F-C,24,19.3,8.5,1.6,4.3,0.8,0.5,0.7,0.516,0.447,0.692,15.854922279792746,2.9844559585492227,8.020725388601036,18.9,Role Player
Lauri Markkanen,UTA,F-C,47,31.4,19.0,1.5,5.9,0.7,0.4,1.4,0.423,0.346,0.876,21.783439490445858,1.7197452229299364,6.7643312101910835,26.7,Scorer
LeBron James,LAL,F,70,34.9,24.4,8.2,7.8,1.0,0.6,3.7,0.513,0.376,0.782,25.16905444126074,8.458452722063038,8.045845272206304,48.2,All-Around Player
Lindy Waters III,DET,F,52,15.0,4.9,1.0,2.1,0.5,0.2,0.4,0.369,0.344,0.727,11.760000000000002,2.4,5.040000000000001,8.4,Role Player
Lonnie Walker IV,PHI,G-F,20,23.8,12.4,2.5,3.2,0.5,0.3,1.3,0.42,0.354,0.8,18.756302521008404,3.7815126050420167,4.840336134453781,18.1,Role Player
Lonzo Ball,CHI,G,35,22.2,7.6,3.3,3.4,1.3,0.5,1.2,0.366,0.344,0.815,12.324324324324325,5.351351351351352,5.513513513513513,23.5,Role Player
Luguentz Dort,OKC,G,71,29.2,10.1,1.6,4.1,1.1,0.5,0.7,0.435,0.412,0.717,12.452054794520548,1.9726027397260275,5.0547945205479445,21.8,Role Player
Luka Dončić,LAL,F-G,50,35.4,28.2,7.7,8.2,1.8,0.4,3.6,0.45,0.368,0.782,28.677966101694913,7.830508474576272,8.338983050847459,55.0,All-Around Player
Luke Kennard,MEM,G,65,22.6,8.9,3.3,2.8,0.8,0.1,1.1,0.478,0.433,0.895,14.176991150442477,5.256637168141592,4.460176991150442,17.8,Role Player
Luke Kornet,BOS,C-F,73,18.6,6.0,1.6,5.3,0.5,1.0,0.4,0.668,0.0,0.691,11.612903225806452,3.096774193548387,10.258064516129032,19.3,Rebounder / Interior Player
Malcolm Brogdon,WAS,G,24,23.5,12.7,4.1,3.8,0.5,0.2,1.6,0.433,0.286,0.88,19.45531914893617,6.280851063829786,5.82127659574468,21.6,Playmaker
Malik Beasley,DET,G,82,27.8,16.3,1.7,2.6,0.9,0.1,1.0,0.43,0.416,0.679,21.10791366906475,2.201438848920863,3.366906474820144,20.1,Scorer
Malik Monk,SAC,G,65,31.6,17.2,5.6,3.8,0.9,0.6,2.4,0.439,0.325,0.865,19.594936708860757,6.379746835443037,4.329113924050633,32.1,All-Around Player
Marcus Sasser,DET,G,57,14.2,6.6,2.3,1.2,0.6,0.1,0.9,0.463,0.382,0.843,16.732394366197184,5.830985915492958,3.0422535211267605,10.6,Role Player
Marcus Smart,WAS,G,34,20.0,9.0,3.2,2.1,1.1,0.3,1.6,0.393,0.348,0.761,16.2,5.76,3.7800000000000002,19.8,Role Player
Mark Williams,CHA,C,44,26.6,15.3,2.5,10.2,0.7,1.2,1.6,0.604,0.0,0.804,20.706766917293233,3.3834586466165413,13.804511278195488,36.9,All-Around Player
Mason Plumlee,PHX,F-C,74,17.6,4.5,1.8,6.1,0.4,0.6,0.8,0.619,0.0,0.648,9.204545454545455,3.6818181818181817,12.477272727272727,17.1,Rebounder / Interior Player
Matas Buzelis,CHI,F,80,18.9,8.6,1.0,3.5,0.4,0.9,0.9,0.454,0.361,0.815,16.380952380952383,1.9047619047619049,6.666666666666667,15.9,Rebounder / Interior Player
Max Christie,DAL,G,78,27.3,9.6,1.9,3.3,0.8,0.4,1.1,0.427,0.366,0.855,12.659340659340659,2.505494505494505,4.351648351648351,18.1,Role Player
Max Strus,CLE,G-F,50,25.5,9.4,3.2,4.3,0.5,0.2,1.1,0.442,0.386,0.824,13.270588235294118,4.517647058823529,6.070588235294117,18.6,Role Player
Maxi Kleber,LAL,F,34,18.7,3.0,1.3,2.8,0.3,0.5,0.7,0.385,0.265,0.762,5.775401069518717,2.502673796791444,5.3903743315508015,8.9,Role Player
Maxwell Lewis,BKN,F,28,11.7,4.1,0.7,2.0,0.3,0.3,0.5,0.417,0.38,0.7,12.615384615384615,2.1538461538461537,6.153846153846154,6.3,Role Player
Micah Potter,UTA,C,38,18.6,4.3,0.8,4.3,0.4,0.4,0.8,0.422,0.316,0.85,8.322580645161288,1.5483870967741935,8.322580645161288,11.4,Role Player
Michael Porter Jr.,DEN,F,77,33.7,18.2,2.1,7.0,0.6,0.5,1.4,0.504,0.395,0.768,19.442136498516316,2.2433234421364987,7.4777448071216615,28.8,Scorer
Mikal Bridges,NYK,G-F,82,37.0,17.6,3.7,3.2,0.9,0.5,1.6,0.5,0.354,0.814,17.124324324324327,3.6,3.1135135135135137,27.5,Scorer
Mike Conley,MIN,G,71,24.7,8.2,4.5,2.6,1.1,0.2,1.1,0.4,0.41,0.9,11.951417004048581,6.558704453441296,3.7894736842105265,21.8,Playmaker
Miles Bridges,CHA,F,64,31.7,20.3,3.9,7.5,0.7,0.7,2.1,0.431,0.313,0.87,23.05362776025237,4.429022082018927,8.517350157728707,35.8,All-Around Player
Miles McBride,NYK,G,64,24.9,9.5,2.9,2.5,1.0,0.3,0.6,0.406,0.369,0.813,13.734939759036145,4.19277108433735,3.6144578313253013,19.5,Role Player
Mo Bamba,NOP,UNK,32,12.9,4.3,0.6,4.5,0.3,1.0,0.6,0.464,0.278,0.704,12.0,1.6744186046511627,12.558139534883722,13.8,Rebounder / Interior Player
Monte Morris,PHX,G,45,12.7,5.2,1.6,1.5,0.4,0.1,0.5,0.426,0.36,0.857,14.740157480314963,4.535433070866143,4.251968503937008,7.5,Role Player
Moritz Wagner,ORL,F-C,30,18.8,12.9,1.4,4.9,0.8,0.4,1.6,0.562,0.36,0.718,24.70212765957447,2.6808510638297873,9.382978723404255,21.8,Role Player
Moses Moody,GSW,G,74,22.3,9.8,1.3,2.6,0.8,0.4,0.7,0.433,0.374,0.797,15.820627802690582,2.098654708520179,4.197309417040358,16.1,Role Player
Mouhamed Gueye,ATL,F,33,16.1,6.0,0.8,4.2,0.8,1.0,0.5,0.421,0.259,0.762,13.41614906832298,1.7888198757763973,9.391304347826086,18.3,Rebounder / Interior Player
