PLAYER,TEAM,POSITION,GP,MIN,PPG,APG,RPG,SPG,BPG,TOV,FG_PCT,FG3_PCT,FT_PCT,PTS_per_36,AST_per_36,REB_per_36,ALL_AROUND_SCORE,ARCHETYPE
Bilal Coulibaly,WAS,G,59,33.0,12.3,3.4,5.0,1.3,0.7,2.1,0.421,0.281,0.746,13.418181818181818,3.709090909090909,5.454545454545455,30.2,All-Around Player
Bismack Biyombo,SAS,C,28,18.8,5.1,1.1,5.6,0.6,0.8,1.0,0.588,0.0,0.4,9.76595744680851,2.1063829787234045,10.72340425531915,17.9,Rebounder / Interior Player
Blake Wesley,SAS,G,58,11.8,3.7,2.0,1.1,0.6,0.1,0.9,0.435,0.293,0.623,11.288135593220339,6.101694915254237,3.3559322033898304,8.1,Role Player
Bobby Portis,MIL,F,49,25.4,13.9,2.1,8.4,0.7,0.5,1.2,0.466,0.365,0.836,19.700787401574804,2.9763779527559056,11.905511811023622,28.8,Rebounder / Interior Player
Bogdan Bogdanović,LAC,G,54,25.0,10.8,2.7,2.9,0.8,0.2,1.4,0.427,0.363,0.879,15.552000000000001,3.8880000000000003,4.176,18.6,Role Player
Bol Bol,PHX,C-F,36,12.5,6.8,0.6,2.9,0.3,0.7,0.6,0.525,0.344,0.769,19.584000000000003,1.728,8.352,11.4,Rebounder / Interior Player
Bradley Beal,PHX,G,53,32.1,17.0,3.7,3.3,1.1,0.5,1.9,0.497,0.386,0.803,19.06542056074766,4.149532710280374,3.700934579439252,28.7,All-Around Player
Brandin Podziemski,GSW,G,64,26.8,11.7,3.4,5.1,1.1,0.2,1.2,0.445,0.372,0.758,15.71641791044776,4.567164179104478,6.850746268656716,25.9,Playmaker
Brandon Boston,NOP,G,42,23.6,10.7,2.2,3.2,1.3,0.2,1.2,0.436,0.35,0.788,16.322033898305083,3.3559322033898304,4.88135593220339,21.7,Role Player
Brandon Clarke,MEM,F,64,18.9,8.3,1.0,5.1,0.8,0.6,0.6,0.621,0.059,0.701,15.809523809523812,1.9047619047619049,9.714285714285714,19.5,Rebounder / Interior Player
Brandon Miller,CHA,F,27,34.2,21.0,3.6,4.9,1.1,0.7,2.8,0.403,0.355,0.861,22.105263157894733,3.789473684210526,5.157894736842105,34.6,All-Around Player
Brandon Williams,DAL,G,33,14.8,8.3,2.3,1.8,0.7,0.2,1.2,0.521,0.4,0.833,20.18918918918919,5.594594594594593,4.378378378378378,13.9,Role Player
Brice Sensabaugh,UTA,F,71,20.2,10.9,1.5,3.0,0.6,0.1,1.5,0.459,0.422,0.89,19.425742574257427,2.673267326732673,5.346534653465346,14.8,Role Player
Brook Lopez,MIL,C,80,31.8,13.0,1.8,5.0,0.6,1.9,1.1,0.509,0.373,0.826,14.716981132075471,2.0377358490566038,5.660377358490566,29.2,Rebounder / Interior Player
Bruce Brown,NOP,G-F,41,22.5,8.3,2.0,4.0,0.8,0.2,1.0,0.421,0.333,0.815,13.280000000000001,3.2,6.4,17.4,Role Player
Bub Carrington,WAS,G,82,30.0,9.8,4.4,4.2,0.7,0.3,1.7,0.401,0.339,0.812,11.760000000000002,5.28,5.040000000000001,22.8,Playmaker
Buddy Hield,GSW,G,82,22.7,11.1,1.6,3.2,0.8,0.3,1.1,0.417,0.37,0.828,17.603524229074893,2.537444933920705,5.07488986784141,17.8,Role Player
CJ McCollum,NOP,G,56,32.7,21.1,4.1,3.8,0.8,0.4,1.9,0.444,0.373,0.717,23.229357798165136,4.513761467889908,4.18348623853211,30.2,Scorer
Cade Cunningham,DET,G,70,35.0,26.1,9.1,6.1,1.0,0.8,4.4,0.469,0.356,0.846,26.845714285714287,9.36,6.274285714285714,49.3,All-Around Player
Caleb Houstan,ORL,G,58,13.6,4.1,0.6,1.3,0.4,0.1,0.2,0.421,0.4,0.882,10.852941176470587,1.5882352941176472,3.4411764705882355,4.7,Role Player
Caleb Martin,DAL,F,45,27.1,7.9,2.1,3.9,1.0,0.5,1.2,0.424,0.359,0.622,10.494464944649446,2.789667896678967,5.180811808118081,20.2,Role Player
Cam Reddish,LAL,UNK,33,17.9,3.2,0.7,2.0,1.0,0.3,0.4,0.404,0.277,0.615,6.435754189944135,1.4078212290502794,4.022346368715084,10.7,Role Player
Cam Spencer,MEM,G,25,10.1,4.2,1.4,1.2,0.4,0.0,0.2,0.415,0.365,1.0,14.970297029702971,4.990099009900989,4.2772277227722775,5.5,Role Player
Cam Thomas,BKN,G,25,31.2,24.0,3.8,3.3,0.6,0.1,2.5,0.438,0.349,0.881,27.692307692307693,4.384615384615384,3.8076923076923075,27.8,Scorer
Cam Whitmore,HOU,F,51,16.2,9.4,1.0,3.0,0.6,0.3,0.9,0.444,0.355,0.75,20.88888888888889,2.2222222222222223,6.666666666666667,14.0,Role Player
Cameron Johnson,BKN,F,57,31.6,18.8,3.4,4.3,0.9,0.4,1.7,0.475,0.39,0.893,21.41772151898734,3.873417721518987,4.898734177215189,28.9,Scorer
Cameron Payne,NYK,G,72,15.1,6.9,2.8,1.4,0.5,0.2,0.7,0.401,0.363,0.907,16.450331125827816,6.675496688741722,3.337748344370861,11.8,Role Player
Caris LeVert,ATL,G,64,24.9,12.1,3.4,3.2,0.9,0.5,1.2,0.467,0.373,0.71,17.49397590361446,4.9156626506024095,4.626506024096386,23.4,Playmaker
Cason Wallace,OKC,G,68,27.6,8.4,2.5,3.4,1.8,0.5,0.9,0.474,0.356,0.811,10.956521739130435,3.260869565217391,4.434782608695652,26.2,Role Player
Charles Bassey,SAS,C-F,36,10.4,4.4,0.5,4.2,0.4,0.8,0.6,0.581,0.0,0.636,15.23076923076923,1.7307692307692306,14.538461538461538,12.9,Rebounder / Interior Player
Chet Holmgren,OKC,C-F,32,27.4,15.0,2.0,8.0,0.7,2.2,1.8,0.49,0.379,0.754,19.708029197080293,2.6277372262773726,10.51094890510949,37.7,All-Around Player
Chris Boucher,TOR,F,50,17.2,10.0,0.7,4.5,0.5,0.5,0.6,0.492,0.363,0.782,20.930232558139537,1.4651162790697674,9.418604651162791,16.4,Role Player
Chris Paul,SAS,G,82,28.0,8.8,7.4,3.6,1.3,0.3,1.6,0.427,0.377,0.924,11.314285714285717,9.514285714285714,4.628571428571429,30.8,Playmaker
