PLAYER,TEAM,POSITION,GP,MIN,PPG,APG,RPG,SPG,BPG,TOV,FG_PCT,FG3_PCT,FT_PCT
Kawhi Leonard,LAC,F,37,31.9,21.5,3.1,5.9,1.6,0.5,1.9,0.498,0.411,0.81
Keaton Wallace,ATL,G,31,16.2,5.4,2.6,1.6,0.9,0.3,1.1,0.401,0.329,1.0
Keegan Murray,SAC,F,76,34.3,12.4,1.4,6.7,0.8,0.9,0.8,0.444,0.343,0.833
Kel'el Ware,MIA,C,64,22.2,9.3,0.9,7.4,0.6,1.1,0.9,0.554,0.315,0.687
Keldon Johnson,SAS,F-G,77,23.9,12.7,1.6,4.8,0.6,0.3,1.0,0.482,0.318,0.773
Kelly Olynyk,NOP,F-C,44,20.2,8.7,2.9,4.7,0.8,0.4,1.7,0.5,0.418,0.769
Kelly Oubre Jr.,PHI,F-G,60,34.6,15.1,1.8,6.1,1.5,0.5,1.3,0.47,0.293,0.751
Kenrich Williams,OKC,G-F,69,16.4,6.3,1.4,3.5,0.6,0.1,0.6,0.483,0.386,0.718
Kentavious Caldwell-Pope,MEM,G,77,29.6,8.7,1.8,2.2,1.3,0.4,0.8,0.439,0.342,0.863
Keon Ellis,SAC,G,80,24.4,8.3,1.5,2.7,1.5,0.8,0.9,0.489,0.433,0.849
Keon Johnson,BKN,G,79,24.4,10.6,2.2,3.8,1.0,0.4,1.5,0.389,0.314,0.77
Kessler Edwards,DAL,F,40,15.2,4.2,1.1,2.9,0.5,0.5,0.4,0.496,0.407,0.923
Kevin Durant,PHX,F,62,36.5,26.6,4.2,6.0,0.8,1.2,3.1,0.527,0.43,0.839
Kevin Huerter,CHI,G-F,69,24.3,9.9,2.3,3.0,1.0,0.3,1.0,0.425,0.338,0.714
Kevin Love,MIA,F-C,23,10.9,5.3,1.0,4.1,0.7,0.2,0.6,0.357,0.358,0.696
Kevin Porter Jr.,MIL,G-F,75,19.8,10.3,3.4,3.7,1.1,0.2,1.8,0.449,0.311,0.769
Kevon Looney,GSW,F,76,15.0,4.5,1.6,6.1,0.6,0.5,0.5,0.514,0.4,0.566
Keyonte George,UTA,G,67,31.5,16.8,5.6,3.8,0.7,0.1,2.7,0.391,0.343,0.818
Khris Middleton,WAS,F,37,22.8,11.9,4.1,3.7,0.9,0.2,1.5,0.475,0.361,0.857
Klay Thompson,DAL,G,72,27.3,14.0,2.0,3.4,0.7,0.4,1.2,0.412,0.391,0.905
Kris Dunn,LAC,G,74,24.1,6.4,2.8,3.4,1.7,0.4,1.0,0.439,0.335,0.682
Kris Murray,POR,F,69,15.1,4.2,1.0,2.6,0.5,0.2,0.6,0.419,0.225,0.456
Kristaps Porziņģis,BOS,F-C,42,28.8,19.5,2.1,6.8,0.7,1.5,1.3,0.483,0.412,0.809
Kyle Anderson,MIA,F-G,61,16.4,5.9,2.4,3.4,0.7,0.5,0.6,0.469,0.357,0.738
Kyle Filipowski,UTA,C,72,21.1,9.6,1.9,6.1,0.7,0.3,1.4,0.502,0.35,0.65
Kyle Kuzma,MIL,F,65,29.8,14.8,2.3,5.7,0.6,0.3,2.2,0.436,0.307,0.634
Kyle Lowry,PHI,G,35,18.8,3.9,2.7,1.9,0.9,0.3,0.6,0.35,0.33,0.818
Kyrie Irving,DAL,G,50,36.1,24.7,4.6,4.8,1.3,0.5,2.2,0.473,0.401,0.916
Kyshawn George,WAS,F,68,26.5,8.7,2.5,4.2,1.0,0.7,1.4,0.372,0.322,0.753
LaMelo Ball,CHA,G,47,32.0,25.2,7.4,4.9,1.1,0.3,3.6,0.405,0.339,0.843
Landry Shamet,NYK,G,50,15.2,5.7,0.5,1.2,0.5,0.0,0.4,0.461,0.397,0.667
Larry Nance Jr.,ATL,F-C,24,19.3,8.5,1.6,4.3,0.8,0.5,0.7,0.516,0.447,0.692
Lauri Markkanen,UTA,F-C,47,31.4,19.0,1.5,5.9,0.7,0.4,1.4,0.423,0.346,0.876
LeBron James,LAL,F,70,34.9,24.4,8.2,7.8,1.0,0.6,3.7,0.513,0.376,0.782
Lindy Waters III,DET,F,52,15.0,4.9,1.0,2.1,0.5,0.2,0.4,0.369,0.344,0.727
Lonnie Walker IV,PHI,G-F,20,23.8,12.4,2.5,3.2,0.5,0.3,1.3,0.42,0.354,0.8
Lonzo Ball,CHI,G,35,22.2,7.6,3.3,3.4,1.3,0.5,1.2,0.366,0.344,0.815
Luguentz Dort,OKC,G,71,29.2,10.1,1.6,4.1,1.1,0.5,0.7,0.435,0.412,0.717
Luka Dončić,LAL,F-G,50,35.4,28.2,7.7,8.2,1.8,0.4,3.6,0.45,0.368,0.782
Luke Kennard,MEM,G,65,22.6,8.9,3.3,2.8,0.8,0.1,1.1,0.478,0.433,0.895
Luke Kornet,BOS,C-F,73,18.6,6.0,1.6,5.3,0.5,1.0,0.4,0.668,0.0,0.691
Malcolm Brogdon,WAS,G,24,23.5,12.7,4.1,3.8,0.5,0.2,1.6,0.433,0.286,0.88
Malik Beasley,DET,G,82,27.8,16.3,1.7,2.6,0.9,0.1,1.0,0.43,0.416,0.679
Malik Monk,SAC,G,65,31.6,17.2,5.6,3.8,0.9,0.6,2.4,0.439,0.325,0.865
Marcus Sasser,DET,G,57,14.2,6.6,2.3,1.2,0.6,0.1,0.9,0.463,0.382,0.843
Marcus Smart,WAS,G,34,20.0,9.0,3.2,2.1,1.1,0.3,1.6,0.393,0.348,0.761
Mark Williams,CHA,C,44,26.6,15.3,2.5,10.2,0.7,1.2,1.6,0.604,0.0,0.804
Mason Plumlee,PHX,F-C,74,17.6,4.5,1.8,6.1,0.4,0.6,0.8,0.619,0.0,0.648
Matas Buzelis,CHI,F,80,18.9,8.6,1.0,3.5,0.4,0.9,0.9,0.454,0.361,0.815
Max Christie,DAL,G,78,27.3,9.6,1.9,3.3,0.8,0.4,1.1,0.427,0.366,0.855
Max Strus,CLE,G-F,50,25.5,9.4,3.2,4.3,0.5,0.2,1.1,0.442,0.386,0.824
Maxi Kleber,LAL,F,34,18.7,3.0,1.3,2.8,0.3,0.5,0.7,0.385,0.265,0.762
Maxwell Lewis,BKN,F,28,11.7,4.1,0.7,2.0,0.3,0.3,0.5,0.417,0.38,0.7
Micah Potter,UTA,C,38,18.6,4.3,0.8,4.3,0.4,0.4,0.8,0.422,0.316,0.85
Michael Porter Jr.,DEN,F,77,33.7,18.2,2.1,7.0,0.6,0.5,1.4,0.504,0.395,0.768
Mikal Bridges,NYK,G-F,82,37.0,17.6,3.7,3.2,0.9,0.5,1.6,0.5,0.354,0.814
Mike Conley,MIN,G,71,24.7,8.2,4.5,2.6,1.1,0.2,1.1,0.4,0.41,0.9
Miles Bridges,CHA,F,64,31.7,20.3,3.9,7.5,0.7,0.7,2.1,0.431,0.313,0.87
Miles McBride,NYK,G,64,24.9,9.5,2.9,2.5,1.0,0.3,0.6,0.406,0.369,0.813
Mo Bamba,NOP,UNK,32,12.9,4.3,0.6,4.5,0.3,1.0,0.6,0.464,0.278,0.704
Monte Morris,PHX,G,45,12.7,5.2,1.6,1.5,0.4,0.1,0.5,0.426,0.36,0.857
Moritz Wagner,ORL,F-C,30,18.8,12.9,1.4,4.9,0.8,0.4,1.6,0.562,0.36,0.718
Moses Moody,GSW,G,74,22.3,9.8,1.3,2.6,0.8,0.4,0.7,0.433,0.374,0.797
Mouhamed Gueye,ATL,F,33,16.1,6.0,0.8,4.2,0.8,1.0,0.5,0.421,0.259,0.762
Moussa Diabaté,CHA,F,71,17.5,5.7,0.8,6.2,0.6,0.6,0.9,0.596,0.0,0.595
Myles Turner,IND,C-F,72,30.2,15.6,1.5,6.5,0.8,2.0,1.7,0.481,0.396,0.773
Naji Marshall,DAL,F,69,27.8,13.2,3.0,4.8,1.0,0.2,1.6,0.508,0.275,0.813
Naz Reid,MIN,C-F,80,27.5,14.2,2.3,6.0,0.7,0.9,1.4,0.462,0.379,0.776
Neemias Queta,BOS,C,62,13.9,5.0,0.7,3.8,0.3,0.7,0.6,0.65,0.0,0.754
Nic Claxton,BKN,C,70,26.9,10.3,2.2,7.4,0.9,1.4,1.2,0.563,0.238,0.513
Nick Richards,PHX,C,57,22.0,9.3,0.9,8.2,0.2,1.0,1.4,0.591,0.0,0.744
Nick Smith Jr.,CHA,G,60,22.8,9.9,2.4,2.1,0.3,0.1,1.4,0.391,0.34,0.935
Nickeil Alexander-Walker,MIN,G,82,25.3,9.4,2.7,3.2,0.6,0.4,1.2,0.438,0.381,0.78
Nicolas Batum,LAC,G-F,78,17.5,4.0,1.1,2.8,0.7,0.5,0.4,0.437,0.433,0.81
Nikola Jokić,DEN,C,70,36.7,29.6,10.2,12.7,1.8,0.6,3.3,0.576,0.417,0.8
Nikola Jović,MIA,F,46,25.1,10.7,2.8,3.9,0.8,0.3,1.3,0.456,0.371,0.828
Nikola Vučević,CHI,C,73,31.2,18.5,3.5,10.1,0.8,0.7,1.6,0.53,0.402,0.805
Noah Clowney,BKN,F-C,46,22.7,9.1,0.9,3.9,0.5,0.5,1.0,0.358,0.333,0.838
Norman Powell,LAC,G,60,32.6,21.8,2.1,3.2,1.2,0.2,1.8,0.484,0.418,0.804
OG Anunoby,NYK,F-G,74,36.6,18.0,2.2,4.8,1.5,0.9,1.4,0.476,0.372,0.81
Obi Toppin,IND,F,79,19.6,10.5,1.6,4.0,0.6,0.4,0.9,0.529,0.365,0.781
Ochai Agbaji,TOR,G,64,27.2,10.4,1.5,3.8,0.9,0.5,0.8,0.498,0.399,0.708
Olivier-Maxence Prosper,DAL,F,52,11.2,3.9,0.8,2.4,0.5,0.1,0.3,0.402,0.235,0.645
Onyeka Okongwu,ATL,F-C,74,27.9,13.4,2.3,8.9,0.9,0.9,1.2,0.567,0.324,0.759
Orlando Robinson,TOR,UNK,44,17.5,6.9,1.8,5.0,0.4,0.4,1.1,0.444,0.327,0.771
Oso Ighodaro,PHX,F,61,17.1,4.2,1.2,3.6,0.5,0.5,0.6,0.604,0.0,0.58
Ousmane Dieng,OKC,F,37,10.9,3.8,0.8,2.2,0.5,0.2,0.5,0.432,0.324,0.688
P.J. Washington,DAL,F,57,32.2,14.7,2.3,7.8,1.1,1.1,2.1,0.453,0.381,0.722
Paolo Banchero,ORL,F,46,34.4,25.9,4.8,7.5,0.8,0.6,3.0,0.452,0.32,0.727
Pascal Siakam,IND,F,78,32.7,20.2,3.4,6.9,0.9,0.5,1.4,0.519,0.389,0.734
Pat Connaughton,MIL,G,41,14.7,5.3,1.7,2.7,0.2,0.3,0.6,0.469,0.321,0.774
Patrick Williams,CHI,F,63,25.0,9.0,2.0,3.8,0.8,0.5,1.4,0.397,0.353,0.723
Patty Mills,LAC,G,29,11.1,3.8,0.9,0.8,0.4,0.1,0.6,0.375,0.347,0.929
Paul George,PHI,F,41,32.5,16.2,4.3,5.3,1.8,0.5,2.6,0.43,0.358,0.814
Payton Pritchard,BOS,G,80,28.4,14.3,3.5,3.8,0.9,0.2,1.0,0.472,0.407,0.845
Pelle Larsson,MIA,G,55,14.2,4.6,1.2,1.7,0.6,0.1,0.4,0.438,0.337,0.672
Peyton Watson,DEN,G,68,24.3,8.1,1.4,3.4,0.7,1.4,0.8,0.477,0.353,0.693
Precious Achiuwa,NYK,F,57,20.5,6.6,1.0,5.6,0.8,0.7,0.8,0.502,0.278,0.594
Quentin Grimes,PHI,G,75,26.8,14.6,3.0,4.3,1.0,0.3,1.9,0.467,0.385,0.757
Quenton Jackson,IND,G,28,13.6,5.8,1.9,1.6,0.8,0.2,0.6,0.475,0.375,0.775
Quinten Post,GSW,C,42,16.3,8.1,1.3,3.5,0.4,0.4,0.8,0.449,0.408,0.778
RJ Barrett,TOR,F-G,58,32.2,21.1,5.4,6.3,0.8,0.3,2.9,0.468,0.35,0.63
Reece Beekman,BKN,G,36,13.0,2.6,1.8,1.1,0.9,0.1,0.6,0.327,0.175,0.762
Reed Sheppard,HOU,G,52,12.6,4.4,1.4,1.5,0.7,0.3,0.7,0.351,0.338,0.813
Reggie Jackson,PHI,UNK,31,12.4,4.4,1.5,1.4,0.5,0.1,0.5,0.391,0.338,0.778
Richaun Holmes,WAS,F,31,17.2,7.4,1.4,5.7,0.3,0.7,0.7,0.647,0.0,0.833
Ricky Council IV,PHI,G,73,17.1,7.3,1.3,2.9,0.4,0.2,0.7,0.382,0.258,0.804
Rob Dillingham,MIN,G,49,10.5,4.5,2.0,1.0,0.4,0.0,1.1,0.441,0.338,0.533
Robert Williams III,POR,C-F,20,17.6,5.8,1.1,5.9,0.7,1.7,0.9,0.641,0.333,0.882
Ronald Holland II,DET,F,81,15.6,6.4,1.0,2.7,0.6,0.2,0.9,0.474,0.238,0.754
Royce O'Neale,PHX,F,75,24.5,9.1,2.2,4.7,0.9,0.4,0.9,0.423,0.406,0.731
Rudy Gobert,MIN,C,72,33.2,12.0,1.8,10.9,0.8,1.4,1.2,0.669,0.0,0.674
Rui Hachimura,LAL,F,59,31.7,13.1,1.4,5.0,0.8,0.4,0.8,0.509,0.413,0.77
Russell Westbrook,DEN,G,75,27.9,13.3,6.1,4.9,1.4,0.5,3.2,0.449,0.323,0.661
Ryan Dunn,PHX,F,74,19.1,6.9,0.8,3.6,0.6,0.5,0.5,0.43,0.311,0.487
Ryan Rollins,MIL,G,56,14.6,6.2,1.9,1.9,0.8,0.3,0.9,0.487,0.408,0.8
Sam Hauser,BOS,F,71,21.7,8.5,0.9,3.2,0.6,0.2,0.3,0.451,0.416,1.0
Sam Merrill,CLE,G,71,19.7,7.2,1.5,2.2,0.7,0.2,0.5,0.406,0.372,0.966
Sandro Mamukelashvili,SAS,F-C,61,11.2,6.3,0.8,3.1,0.4,0.3,0.4,0.502,0.373,0.741
Santi Aldama,MEM,F-C,65,25.5,12.5,2.9,6.4,0.8,0.4,1.1,0.483,0.368,0.691
Scoot Henderson,POR,G,66,26.7,12.7,5.1,3.0,1.0,0.2,2.7,0.419,0.354,0.767
Scottie Barnes,TOR,F-G,65,32.8,19.3,5.8,7.7,1.4,1.0,2.8,0.446,0.271,0.755
Scotty Pippen Jr.,MEM,G,79,21.3,9.9,4.4,3.3,1.3,0.4,1.7,0.48,0.397,0.713
Seth Curry,CHA,G,68,15.6,6.5,0.9,1.7,0.4,0.1,0.5,0.478,0.456,0.846
Shaedon Sharpe,POR,G,72,31.3,18.5,2.8,4.5,0.9,0.2,2.1,0.452,0.311,0.785
Shai Gilgeous-Alexander,OKC,G,76,34.2,32.7,6.4,5.0,1.7,1.0,2.4,0.519,0.375,0.898
Shake Milton,LAL,G,57,14.7,5.5,1.8,1.8,0.4,0.1,0.7,0.453,0.358,0.797
Simone Fontecchio,DET,F,75,16.5,5.9,0.9,2.9,0.4,0.2,0.7,0.402,0.335,0.833
Spencer Dinwiddie,DAL,G,79,27.0,11.0,4.4,2.6,0.9,0.2,1.3,0.416,0.334,0.802
Stephen Curry,GSW,G,70,32.2,24.5,6.0,4.4,1.1,0.4,2.9,0.448,0.397,0.933
Stephon Castle,SAS,G,81,26.7,14.7,4.1,3.7,0.9,0.3,2.2,0.428,0.285,0.724
Steven Adams,HOU,C,58,13.7,3.9,1.1,5.6,0.4,0.5,0.9,0.545,0.0,0.462
Svi Mykhailiuk,UTA,G-F,38,20.0,8.8,2.0,2.4,0.5,0.2,1.4,0.391,0.345,0.8
T.J. McConnell,IND,G,79,17.9,9.1,4.4,2.4,1.1,0.3,1.4,0.519,0.306,0.74
Taj Gibson,CHA,F,37,11.1,2.9,0.6,3.2,0.2,0.5,0.7,0.495,0.5,0.6
Talen Horton-Tucker,CHI,G,58,12.5,6.5,1.4,1.7,0.4,0.2,0.7,0.457,0.336,0.735
Tari Eason,HOU,F,57,24.9,12.0,1.5,6.4,1.7,0.9,1.1,0.487,0.342,0.76
Taurean Prince,MIL,F,80,27.1,8.2,1.9,3.6,1.0,0.2,1.0,0.457,0.439,0.813
Terance Mann,ATL,G-F,67,21.1,7.7,1.8,3.0,0.7,0.2,0.7,0.496,0.368,0.691
Terrence Shannon Jr.,MIN,G-F,32,10.6,4.3,1.0,1.5,0.2,0.2,0.5,0.482,0.355,0.81
Terry Rozier,MIA,G,64,25.9,10.6,2.6,3.7,0.6,0.2,1.2,0.391,0.295,0.852
Thomas Bryant,IND,C-F,66,14.6,6.5,0.8,3.8,0.4,0.6,0.5,0.508,0.324,0.859
Tidjane Salaün,CHA,F,60,20.7,5.9,1.2,4.7,0.5,0.2,1.0,0.33,0.283,0.713
Tim Hardaway Jr.,DET,G-F,77,28.0,11.0,1.6,2.4,0.5,0.1,0.6,0.406,0.368,0.855
Tobias Harris,DET,F,73,31.6,13.7,2.2,5.9,1.0,0.8,1.2,0.477,0.345,0.861
Torrey Craig,BOS,F,26,12.1,4.2,0.7,2.8,0.3,0.5,0.3,0.422,0.364,0.667
Tosan Evbuomwan,BKN,F,28,23.7,9.5,2.0,4.3,0.9,0.4,1.4,0.427,0.312,0.753
Toumani Camara,POR,F,78,32.7,11.3,2.2,5.8,1.5,0.6,1.4,0.458,0.375,0.722
Trae Young,ATL,G,76,36.0,24.2,11.6,3.1,1.2,0.2,4.7,0.411,0.34,0.875
Trayce Jackson-Davis,GSW,F,62,15.6,6.6,1.7,5.0,0.4,0.6,0.7,0.576,0.0,0.578
Tre Jones,CHI,G,46,19.7,7.2,4.2,2.5,0.8,0.2,0.8,0.538,0.396,0.821
Trendon Watford,BKN,G-F,44,20.7,10.2,2.6,3.6,0.6,0.3,1.9,0.469,0.33,0.762
Trevelin Queen,ORL,G,31,13.9,4.9,1.2,1.7,1.0,0.3,0.7,0.381,0.286,0.857
Trey Jemison III,LAL,C,38,10.3,2.5,0.4,2.8,0.2,0.4,0.6,0.554,0.0,0.394
Trey Lyles,SAC,F,69,19.6,6.5,1.2,4.6,0.6,0.3,0.6,0.42,0.34,0.7
Trey Murphy III,NOP,F,53,35.0,21.2,3.5,5.1,1.1,0.7,1.9,0.454,0.361,0.887
Tristan Vukcevic,WAS,F,35,14.6,9.4,1.1,3.7,0.3,0.7,1.2,0.496,0.373,0.776
Tristan da Silva,ORL,F,74,22.0,7.2,1.5,3.3,0.4,0.2,0.8,0.412,0.335,0.873
Ty Jerome,CLE,G-F,70,19.9,12.5,3.4,2.5,1.1,0.0,1.3,0.516,0.439,0.872
Tyler Herro,MIA,G,77,35.4,23.9,5.5,5.2,0.9,0.2,2.6,0.472,0.375,0.878
Tyrese Haliburton,IND,G,73,33.6,18.6,9.2,3.5,1.4,0.7,1.6,0.473,0.388,0.851
Tyrese Martin,BKN,F,60,21.9,8.7,2.0,3.7,0.6,0.2,1.2,0.406,0.351,0.793
Tyrese Maxey,PHI,G,52,37.7,26.3,6.1,3.3,1.8,0.4,2.4,0.437,0.337,0.879
Tyus Jones,PHX,G,81,26.8,10.2,5.3,2.4,0.9,0.1,1.1,0.448,0.414,0.895
Vasilije Micic,PHX,G,41,19.1,6.6,3.1,2.2,0.4,0.0,1.9,0.348,0.36,0.829
Victor Wembanyama,SAS,F-C,46,33.2,24.3,3.7,11.0,1.1,3.8,3.2,0.476,0.352,0.836
Vince Williams Jr.,MEM,G,27,18.5,6.6,2.0,3.6,0.4,0.3,1.2,0.401,0.274,0.792
Vít Krejčí,ATL,G,57,20.2,7.2,2.6,2.7,0.6,0.5,0.9,0.497,0.437,0.711
Walker Kessler,UTA,C,58,30.0,11.1,1.7,12.2,0.6,2.4,1.5,0.663,0.176,0.52
Wendell Carter Jr.,ORL,C-F,68,25.9,9.1,2.0,7.2,0.8,0.6,1.1,0.46,0.234,0.737
Wendell Moore Jr.,CHA,G,36,13.9,4.2,1.2,2.6,0.6,0.1,0.8,0.468,0.341,0.818
Yves Missi,NOP,C,73,26.8,9.1,1.4,8.2,0.5,1.3,1.1,0.547,0.0,0.623
Zaccharie Risacher,ATL,F,75,24.6,12.6,1.2,3.6,0.7,0.5,1.2,0.458,0.355,0.711
Zach Collins,CHI,F-C,64,15.3,6.4,1.7,4.5,0.5,0.5,0.9,0.507,0.302,0.885
Zach Edey,MEM,C,66,21.5,9.2,1.0,8.3,0.5,1.3,1.3,0.58,0.346,0.709
Zach LaVine,SAC,G,74,35.2,23.3,4.2,4.3,0.8,0.2,2.8,0.511,0.446,0.825
Zeke Nnaji,DEN,F-C,57,10.7,3.2,0.4,1.6,0.4,0.7,0.2,0.496,0.327,0.614
Ziaire Williams,BKN,F,63,24.5,10.0,1.3,4.6,1.0,0.4,1.1,0.412,0.341,0.821
Zion Williamson,NOP,F,30,28.6,24.6,5.3,7.2,1.2,0.9,3.0,0.567,0.231,0.656
